date;netRadiation;netOutGoingLongWaveRadiation;netRadiationEquivalentEvaporation;evapoTranspirationPriestlyTaylor;diffusionLimitedEvaporation;energyLimitedEvaporation;conductance;evapoTranspirationPenman;soilEvaporation;evapoTranspiration;potentialTranspiration;soilHeatFlux;cropHeatFlux;minCanopyTemperature;maxCanopyTemperature
1991-06-09;1.1113293049059283;1.660670695094072;452.8644274270286;315.52671345982793;110695.97271583833;314.7353258847177;3423.1289396068087;1722.7078021953091;314.7353258847177;1722.7078021953091;2.9286032637320853;137.35923201568494;312.57659214761156;-1.4188867225050805;8.18111327749492
1991-06-10;0.12184563498411549;4.344154365015885;49.651847996787076;37.086092719314685;55597.41857961785;36.99307532416095;743.528711846895;924.587472720461;36.99307532416095;924.587472720461;1.571798703624816;12.574364531031591;35.50568476213067;3.794714668815139;8.39471466881514
1991-06-11;0.18482015747507496;4.358179842524925;75.31383760190504;57.46442508656949;8300.0;57.32029582560866;482.8108518486331;553.2343109376704;57.32029582560866;553.2343109376704;0.940498328594059;17.86550825237314;56.507831020937836;-0.16786067847562508;11.932139321524375
1991-06-12;-0.42085506263361605;5.810855062633617;-171.49758053529584;0.0;8300.0;0.0;482.8108518486331;803.0725763410231;0.0;803.0725763410231;1.3652233797797673;-171.20603464838584;-1.656769266689768;-1.8068061591914455;15.493193840808555
1991-06-13;-0.15572877420094144;5.391728774200941;-63.45915819109268;0.0;8300.0;0.0;859.403316290567;960.3058101980048;0.0;960.3058101980048;1.6325198773366416;-63.35127762216782;-1.7404004462615041;-1.6040166987087587;13.295983301291242
1991-06-14;-0.2739308485724079;5.5869308485724085;-111.6262626619429;0.0;8300.0;0.0;1067.0119825854792;1207.4092285643883;0.0;1207.4092285643883;2.052595688559502;-111.4364980154176;-2.2423603350848067;0.39583175534506004;11.99583175534506
1991-06-15;1.2243471474837346;1.0086528525162655;498.9189680047818;383.11779150348076;8300.0;382.1568755269065;825.6065566611626;1133.6685127218566;382.1568755269065;1133.6685127218566;1.9272364716271957;115.91393023226715;381.0778013008875;3.9154984501403463;11.215498450140347
1991-06-16;-0.5566843442822185;6.793684344282219;-226.84773605632373;0.0;8300.0;0.0;1361.5266022131455;962.2199226519355;0.0;962.2199226519355;1.6357738685083238;-226.46209490502795;-2.021415019804096;-0.8029447365919017;10.497055263408098
1991-06-17;1.2315598323624202;0.9244401676375795;501.85812239707417;399.6998404397824;8300.0;398.69733423664957;1453.2606640643858;2310.5667866269855;398.69733423664957;2310.5667866269855;3.927963537265956;102.30762935234958;395.62252950745864;2.9399513020672283;13.139951302067228
1991-06-18;1.7630079337205231;-0.6850079337205233;718.4221408804087;538.6757630161725;8300.0;537.3246846837247;1612.5882451744346;1315.363206491534;537.3246846837247;1315.363206491534;2.2361174510356534;179.87613855718723;536.3098848721859;6.459643682996015;7.459643682996015
1991-06-19;0.18895073409019236;4.200049265909808;76.9970391565576;58.912686119874515;8300.0;58.76492440645125;1525.6822918416808;1520.1297048251413;58.76492440645125;1520.1297048251413;2.584220498202793;18.10121978354021;56.31159887481461;-0.7267932968423854;12.073206703157615
1991-06-20;0.9527953026248628;1.8962046973751374;388.262144508909;264.5607850464818;8300.0;263.8972275433741;1718.806632581134;931.6661126497906;263.8972275433741;931.6661126497906;1.5838323915046766;123.70487131986977;262.9734407975345;1.503460356597313;5.503460356597313
1991-06-21;-0.2915973842556703;5.604597384255671;-118.82533995748584;0.0;8300.0;0.0;680.7633011065727;489.5844852500389;0.0;489.5844852500389;0.8322936249250832;-118.62333687955811;-1.034296702852811;-1.6030134646452454;6.996986535354755
1991-06-22;-0.28078372156093856;5.1317837215609385;-114.41879444211024;0.0;8300.0;0.0;854.5752077720806;1058.7193669695007;0.0;1058.7193669695007;1.799822923848188;-114.22428249155865;-1.9943348743997742;-3.304628762419777;8.395371237580223
1991-06-23;1.0884334531005648;1.2985665468994352;443.5344144664078;314.34371001843584;8300.0;313.55528959059046;482.8108518486331;792.4023100933665;313.55528959059046;792.4023100933665;1.3470839271587507;129.22511637122443;312.9622141680246;1.1856773078551193;9.285677307855119
1991-06-24;0.41194975529428834;3.4380502447057117;167.8686859389928;124.11115280174187;71732.19735847517;123.7998637093449;1800.8844773954017;1766.1303510159232;123.7998637093449;1766.1303510159232;3.002421596727131;43.78344546355159;121.08281887871408;1.4333563696511562;9.433356369651158
1991-06-25;1.6283352089272887;-0.24233520892728866;663.5432799214705;475.75275009631224;43742.39747842158;474.55949196890276;2307.835871836466;1461.8268223644432;474.55949196890276;1461.8268223644432;2.4851055980196044;187.85576437670113;473.2024099467497;3.7066859081272217;6.706685908127222
1991-06-26;-0.003587122947168453;4.7005871229471685;-1.4617452922446832;0.0;24548.801054536634;0.0;622.8259988847367;614.4111253018659;0.0;614.4111253018659;1.0444989130131934;-1.459260325247867;-1.0469838800100095;3.496665809899055;8.796665809899055
1991-06-27;0.8522231003386067;2.304776899661393;347.27917699209723;224.59101597184767;22590.760813490397;224.02770854987835;492.4670688856057;332.07497193350827;224.02770854987835;332.07497193350827;0.5645274522869757;122.66109384133227;224.053555698478;-1.497615261507692;6.0023847384923075
1991-06-28;1.4218293904308625;0.42617060956913744;579.3925796376782;396.17632773981165;18686.808279620727;395.182659026668;2211.2737014667396;2263.0379974552407;395.182659026668;2263.0379974552407;3.8471645956739877;183.22495322562617;392.32046181637804;-1.3481030078372485;7.551896992162751
